"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"47215";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;59;1036,91499999678;"L";1;0;NA;"L";"blue";"black";"parity";6;300;1;0;0;0
"47219";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;60;1329,20499999449;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;1;1;0;0
"47223";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;61;1064,01999999792;"L";1;0;NA;"L";"red";"black";"parity";8;300;1;1;1;0
"47227";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;62;1299,78499999549;"A";1;0;NA;"A";"blue";"black";"parity";9;300;0;1;1;0
"47231";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;63;645,165000001667;"L";1;0;NA;"L";"blue";"black";"parity";6;300;0;1;0;0
"47235";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;64;598,854999996489;"L";1;0;NA;"L";"blue";"black";"parity";8;300;0;0;0;0
"47239";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;65;766,820000004489;"L";1;0;NA;"L";"blue";"black";"magnit";2;300;1;0;0;0
"47243";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;66;704,14000000176;"L";1;0;NA;"L";"blue";"black";"magnit";4;300;0;0;0;0
"47247";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;67;1082,82999999938;"L";1;0;NA;"L";"red";"black";"magnit";3;300;0;0;1;0
"47251";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;68;812,154999999795;"A";1;0;NA;"A";"blue";"black";"parity";1;300;1;1;1;0
"47255";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;69;1454,37500000116;"A";1;0;NA;"A";"blue";"black";"parity";3;300;0;0;0;0
"47259";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;70;1030,36500000604;"A";1;0;NA;"A";"blue";"black";"parity";1;300;0;0;0;0
"47263";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;71;732,165000001201;"L";1;0;NA;"L";"red";"black";"magnit";3;300;1;1;1;0
"47267";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;72;1285,72500000149;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;0;1;1;0
"47271";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;73;681,60999999987;"L";1;0;NA;"L";"red";"black";"magnit";1;300;0;1;1;0
"47275";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;74;668,210000003455;"A";1;0;NA;"A";"red";"black";"magnit";9;300;0;1;0;0
"47279";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;75;1162,45000000345;"A";1;0;NA;"A";"blue";"black";"magnit";8;300;0;0;1;0
"47283";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;76;640,719999995781;"A";1;0;NA;"A";"red";"black";"parity";9;300;1;0;1;0
"47287";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;77;626,280000004219;"A";1;0;NA;"A";"blue";"black";"parity";7;300;0;0;1;0
"47291";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;78;945,4150000019;"A";1;0;NA;"A";"red";"black";"magnit";9;300;1;0;1;0
"47295";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;79;1112,57000000472;"L";1;0;NA;"L";"blue";"black";"magnit";2;300;0;1;1;0
"47299";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;80;1129,5449999962;"L";1;0;NA;"L";"blue";"black";"magnit";1;300;0;0;0;0
"47303";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;81;784,944999999367;"L";1;0;NA;"L";"blue";"black";"parity";8;300;1;0;0;0
"47307";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;82;750,130000000354;"A";1;0;NA;"A";"blue";"black";"parity";9;300;0;1;0;0
